system,status,family,available_tokens,natural_units,prefix_median,prefix_ci_low,prefix_ci_high,suffix_median,suffix_ci_low,suffix_ci_high,ratio_median,minimum_sc_median,other_minimum_sc_median
VOYNICH,eligible,Target system,31608,4197,1.332509864860831,1.2215662037919541,1.4608964854062516,1.4577206413913837,1.3887427076989336,1.554690918547686,0.9180195543947379,1.332509864860831,1.291322525952812
Arabic,eligible,Semitic,1577911,100000,1.4850014796093784,1.1871132249039924,1.7565744405566377,0.876770804261777,0.7612932572486727,0.9924843537152401,1.682043397868477,0.876770804261777,0.8969718791658134
Latin,eligible,Indo-European,1090914,100000,0.5434932894290796,0.43004008986216996,0.8140544679482795,2.6418172069692414,2.495539622975106,2.7915907761793526,0.20600138663732293,0.5434932894290796,0.6189169517696753
Estonian,eligible,Uralic,1123481,100000,0.7005999840666562,0.550185420502832,0.8460360669289033,1.9391337660759065,1.3878900972147938,2.1397089868565216,0.3622781118508678,0.7005999840666562,0.7497637666670618
Hebrew,eligible,Semitic,1259503,100000,0.5650327020697411,0.37792835954864795,0.9070596341677842,1.7065421011862825,1.5619382351552504,1.8912576782295534,0.3328026311361235,0.5650327020697411,0.6795243513093072
Finnish,eligible,Uralic,1105959,100000,0.6221579134123378,0.48942482936706144,0.766320632747202,1.3948130404005457,1.3156885230320627,1.4757214393947646,0.4457811193353914,0.6221579134123378,0.6840517596666804
Hungarian,eligible,Uralic,1296047,100000,0.5455985341110127,0.45020186067383383,0.664265123833342,0.6587988668113404,0.5410274286977949,0.7670637907608722,0.8252379062743267,0.5444082307969962,0.619683096262795
Turkish,eligible,Turkic,1276030,100000,0.6187556884712475,0.5112071855223478,0.7421940543456474,0.778551961873337,0.5703714694047305,0.9599407652473343,0.8035377460013942,0.6149802213526409,0.6776559313041197
Italian,eligible,Indo-European,1800034,100000,0.6036932131273358,0.5125684996829956,0.6913605479215951,0.8097461921454427,0.6589209016847641,0.928763799234873,0.7532469751472843,0.6036932131273358,0.6669149990541138
North Azerbaijani,eligible,Turkic,1256885,100000,0.7140902295343113,0.5642245889051606,0.8865335798554215,0.8402222452280732,0.6414861752560591,0.9781271109427132,0.8690852874977448,0.7038325960590399,0.752760355890165
Swahili,eligible,Bantu,1548857,100000,0.8192111310719759,0.7557327297572867,0.8876515296037896,0.9978463590216446,0.9158298892065726,1.0704559974662724,0.8179199024242099,0.8192111310719759,0.8455935121446237
Georgian,eligible,Kartvelian,1054188,100000,0.9851453676109692,0.8480444925396257,1.1697446266446727,0.8119877727412375,0.734786660765781,0.9071520971505962,1.2134887179241134,0.8108784751224811,0.8472626122425541
Tagalog,eligible,Austronesian,1893267,100000,0.4667927474696335,0.42345685605586325,0.5121548700498348,0.6153474019673018,0.5563606375082664,0.656680493533742,0.7617214773526282,0.4667927474696335,0.544875310710407
Middle English,eligible,Indo-European,217642,20508,0.33847464903089575,0.2858537666794248,0.4038016544414707,0.40024302830016595,0.30643731814395475,0.4709579942404188,0.8521343556057014,0.33601100909543063,0.4415823506048145
KJV English,eligible,Indo-European,771838,35239,0.2588794241934588,0.18535529873631837,0.399560097345857,0.09447342479637683,0.06832723914106095,0.12270007435172772,2.8504915719697506,0.09447342479637683,0.31551734641134543
Ottoman Turkish,ineligible_too_small,Turkic,16890,1782,,,,,,,,,
